"Country/Area","Year","Unit","GDP, Per Capita GDP - US Dollars"
"Croatia","2019","US$","15092.428221528566"
"Croatia","2020","US$","14028.277562125075"
"Croatia","2021","US$","16983.44731725539"
"Cuba","2019","US$","9139.415856057647"
"Cuba","2020","US$","9499.590202304318"
"Cuba","2021","US$","11255.278949558526"
"Curaçao","2019","US$","15510.52681216796"
"Curaçao","2020","US$","13187.178985219296"
"Curaçao","2021","US$","14183.255280476935"
"Cyprus","2019","US$","29850.50695964841"
"Cyprus","2020","US$","28570.30035259703"
"Cyprus","2021","US$","32280.928826946954"
"Czechia","2019","US$","23968.0432611253"
"Czechia","2020","US$","23357.293366900692"
"Czechia","2021","US$","26808.53985804159"
"Côte d'Ivoire","2019","US$","2238.817938798131"
"Côte d'Ivoire","2020","US$","2288.1194796880245"
"Côte d'Ivoire","2021","US$","2538.9110713960463"
"Democratic People's Republic of Korea","2019","US$","643.1453775015157"
"Democratic People's Republic of Korea","2020","US$","621.3791454659184"
"Democratic People's Republic of Korea","2021","US$","654.1480075803547"
"Democratic Republic of the Congo","2019","US$","526.3181750831874"
"Democratic Republic of the Congo","2020","US$","487.9494757191167"
"Democratic Republic of the Congo","2021","US$","551.127775172991"
"Denmark","2019","US$","59783.649338656745"
"Denmark","2020","US$","60975.68482253044"
"Denmark","2021","US$","68036.71744999515"
"Djibouti","2019","US$","2948.181327776046"
"Djibouti","2020","US$","3140.3379414789283"
"Djibouti","2021","US$","3348.0133913473587"
"Dominica","2019","US$","8561.587011214608"
"Dominica","2020","US$","7036.805539479336"
"Dominica","2021","US$","7570.783781489052"
"Dominican Republic","2019","US$","8173.344645803636"
"Dominican Republic","2020","US$","7167.914931980666"
"Dominican Republic","2021","US$","8476.749688279982"
"Eastern Africa","2019","US$","978.6740822546476"
"Eastern Africa","2020","US$","950.9189250718233"
"Eastern Africa","2021","US$","999.2664423607339"
"Eastern Asia","2019","US$","13321.92508397354"
"Eastern Asia","2020","US$","13495.836786572105"
"Eastern Asia","2021","US$","15445.79826724775"
"Eastern Europe","2019","US$","11450.862643931248"
"Eastern Europe","2020","US$","10757.341925447277"
"Eastern Europe","2021","US$","12655.045969607063"
"Ecuador","2019","US$","6233.258166923628"
"Ecuador","2020","US$","5645.199289653324"
"Ecuador","2021","US$","5965.132870544159"
"Egypt","2019","US$","3004.652156084475"
"Egypt","2020","US$","3457.2110627594457"
"Egypt","2021","US$","3898.0197303003542"
"El Salvador","2019","US$","4280.287889096826"
"El Salvador","2020","US$","3903.395115570648"
"El Salvador","2021","US$","4551.184796822764"
"Equatorial Guinea","2019","US$","7351.611038039182"
"Equatorial Guinea","2020","US$","6279.165557088555"
"Equatorial Guinea","2021","US$","7605.453386031027"
"Eritrea","2019","US$","566.436164468363"
"Eritrea","2020","US$","586.053060382095"
"Eritrea","2021","US$","622.9821402344012"
"Estonia","2019","US$","23421.995818672727"
"Estonia","2020","US$","23596.6280435775"
"Estonia","2021","US$","27990.621029095353"
"Ethiopia","2019","US$","811.0880980615411"
"Ethiopia","2020","US$","824.3902675390082"
"Ethiopia","2021","US$","825.2911140797497"
"Europe","2019","US$","29060.16387633538"
"Europe","2020","US$","28113.723213700774"
"Europe","2021","US$","31874.943316918096"
"Fiji","2019","US$","5968.299048918999"
"Fiji","2020","US$","4864.106002703588"
"Fiji","2021","US$","4646.537921378701"
"Finland","2019","US$","48630.46593232076"
"Finland","2020","US$","49171.41908817388"
"Finland","2021","US$","53703.45252002731"
"France","2019","US$","40915.376825761254"
"France","2020","US$","39505.84387629787"
"France","2021","US$","44229.39371527279"
"French Polynesia","2019","US$","20023.498354289564"
"French Polynesia","2020","US$","18910.37865110007"
"French Polynesia","2021","US$","19914.599058609758"
"Gabon","2019","US$","7523.862278460201"
"Gabon","2020","US$","6681.100967384323"
"Gabon","2021","US$","7910.846082612401"
"Gambia","2019","US$","722.8753505740801"
"Gambia","2020","US$","704.0304580202123"
"Gambia","2021","US$","772.1514523861231"
"Georgia","2019","US$","4634.805740629289"
"Georgia","2020","US$","4207.853146460483"
"Georgia","2021","US$","4975.12492080027"
"Germany","2019","US$","46762.63340537658"
"Germany","2020","US$","46678.46074525256"
"Germany","2021","US$","51073.11789413874"
"Ghana","2019","US$","2168.41725170413"
"Ghana","2020","US$","2176.576218012764"
"Ghana","2021","US$","2408.634902627499"
"Greece","2019","US$","19411.439293855605"
